datetime,open,high,low,close,volume
2018-01-01 11:54:00,41.39,41.4,41.37,41.37,2000
2018-01-01 11:55:00,41.37,41.38,41.37,41.37,800
2018-01-01 11:56:00,41.37,41.37,41.34,41.36,2242
2018-01-01 11:57:00,41.37,41.37,41.35,41.35,809
2018-01-01 11:58:00,41.36,41.36,41.35,41.35,1631
2018-01-01 11:59:00,41.34,41.35,41.31,41.34,12600
2018-01-01 12:00:00,41.33,41.37,41.33,41.37,5226
2018-01-01 12:01:00,41.37,41.39,41.37,41.37,928
2018-01-01 12:02:00,41.38,41.39,41.36,41.37,3668
2018-01-01 12:03:00,41.38,41.38,41.35,41.36,984
2018-01-01 12:04:00,41.35,41.35,41.32,41.32,10650
2018-01-01 12:05:00,41.33,41.34,41.25,41.26,9635
2018-01-01 12:06:00,41.2575,41.3,41.24,41.26,15229
2018-01-01 12:07:00,41.26,41.325,41.26,41.29,17082
2018-01-01 12:08:00,41.28,41.305,41.26,41.27,1500
2018-01-01 12:09:00,41.26,41.27,41.25,41.27,3046
2018-01-01 12:10:00,41.27,41.34,41.27,41.33,8821
2018-01-01 12:11:00,41.33,41.33,41.3,41.33,1821
2018-01-01 12:12:00,41.34,41.3708,41.34,41.3708,394
2018-01-01 12:13:00,41.38,41.38,41.35,41.35,5476
2018-01-01 12:14:00,41.36,41.4,41.36,41.4,2950
2018-01-01 12:15:00,41.4,41.41,41.38,41.38,899
2018-01-01 12:16:00,41.38,41.41,41.38,41.41,1299
2018-01-01 12:17:00,41.41,41.42,41.38,41.42,3801
2018-01-01 12:18:00,41.415,41.43,41.41,41.43,713
2018-01-01 12:19:00,41.42,41.43,41.41,41.43,908
2018-01-01 12:20:00,41.42,41.43,41.42,41.43,607
2018-01-01 12:21:00,41.41,41.4599,41.41,41.45,2770
2018-01-01 12:22:00,41.45,41.45,41.43,41.43,590
2018-01-01 12:23:00,41.43,41.4406,41.43,41.4406,2114
2018-01-01 12:24:00,41.43,41.435,41.425,41.425,565
2018-01-01 12:25:00,41.4,41.42,41.4,41.4,1509
2018-01-01 12:26:00,41.4099,41.44,41.4,41.41,5455
2018-01-01 12:27:00,41.43,41.43,41.4,41.42,1124
2018-01-01 12:28:00,41.43,41.47,41.43,41.44,5223
2018-01-01 12:29:00,41.44,41.44,41.43,41.43,313
2018-01-01 12:30:00,41.425,41.44,41.42,41.44,1715
2018-01-01 12:31:00,41.43,41.44,41.42,41.44,900
2018-01-01 12:32:00,41.44,41.44,41.43,41.43,1227
2018-01-01 12:33:00,41.435,41.44,41.435,41.44,1400
2018-01-01 12:34:00,41.43,41.45,41.43,41.45,1815
2018-01-01 12:35:00,41.44,41.45,41.44,41.44,2019
2018-01-01 12:36:00,41.44,41.45,41.44,41.45,1010
2018-01-01 12:37:00,41.45,41.47,41.45,41.45,2304
2018-01-01 12:38:00,41.46,41.47,41.46,41.47,1184
2018-01-01 12:39:00,41.465,41.47,41.465,41.47,400
2018-01-01 12:40:00,41.4543,41.46,41.43,41.445,3404
2018-01-01 12:41:00,41.445,41.46,41.445,41.46,800
2018-01-01 12:42:00,41.47,41.47,41.435,41.435,5978
2018-01-01 12:43:00,41.43,41.43,41.415,41.43,3264
2018-01-01 12:44:00,41.42,41.43,41.42,41.42,998
2018-01-01 12:45:00,41.43,41.43,41.43,41.43,17
2018-01-01 12:46:00,41.42,41.43,41.41,41.42,2501
2018-01-01 12:47:00,41.42,41.42,41.42,41.42,150
2018-01-01 12:48:00,41.43,41.43,41.428,41.43,900
2018-01-01 12:49:00,41.41,41.42,41.41,41.42,196
2018-01-01 12:50:00,41.42,41.43,41.42,41.43,800
2018-01-01 12:51:00,41.41,41.42,41.37,41.375,8387
2018-01-01 12:52:00,41.375,41.39,41.37,41.39,3069
2018-01-01 12:53:00,41.39,41.4,41.39,41.4,900
2018-01-01 12:54:00,41.3901,41.395,41.385,41.39,1443
2018-01-01 12:55:00,41.385,41.395,41.38,41.39,1750
2018-01-01 12:56:00,41.4,41.4,41.385,41.385,522
2018-01-01 12:57:00,41.39,41.39,41.39,41.39,1300
2018-01-01 12:58:00,41.4,41.4,41.35,41.365,8098
2018-01-01 12:59:00,41.38,41.38,41.36,41.36,539
2018-01-01 13:00:00,41.386,41.386,41.3504,41.36,3613
2018-01-01 13:01:00,41.3533,41.37,41.35,41.36,2663
2018-01-01 13:02:00,41.36,41.37,41.36,41.37,600
2018-01-01 13:03:00,41.3699,41.38,41.365,41.38,2149
2018-01-01 13:04:00,41.37,41.39,41.37,41.39,6592
2018-01-01 13:05:00,41.4,41.4,41.37,41.39,2747
2018-01-01 13:06:00,41.4,41.41,41.38,41.41,1564
2018-01-01 13:07:00,41.4,41.41,41.4,41.41,400
